"outcome","tau","n_e","n_o","n_eo","alpha_o_id","normalized_bias","coverage","rmse","avg_bias","sd_est","avg_se","n_sims","prop_na","estimator"
"Ybin",0.2,1000,1000,500,"02km",0.0382406261276102,0.956,0.0365534761958345,0.00139820374268219,0.0365633067308138,0.0376853094020956,500,0,"PPIV"
"Ybin",0.2,1000,1000,500,"05km",0.0382406261276102,0.956,0.0365534761958345,0.00139820374268219,0.0365633067308138,0.0376707635689238,500,0,"PPIV"
"Ybin",0.2,1000,1000,500,"10km",0.0382406261276102,0.956,0.0365534761958345,0.00139820374268219,0.0365633067308138,0.0376818399365307,500,0,"PPIV"
"Ybin",0,1000,1000,100,"02km",0.0169607597494052,0.932,0.0316983822957079,0.000538089538083349,0.031725556286016,0.0314441953668114,500,0,"RSV"
"Ybin",0,1000,1000,100,"05km",0.014509933142967,0.938,0.0319543655269099,0.000464071112115449,0.0319829945143741,0.0317048783830537,500,0,"RSV"
"Ybin",0,1000,1000,100,"10km",0.0186443605217993,0.936,0.0318514466542431,0.000594341098574193,0.0318777947830005,0.0314570161190525,500,0,"RSV"
"Ybin",0.05,1000,1000,100,"02km",0.0162275677930743,0.942,0.0344784769259472,0.000559988289340918,0.0345084547777957,0.0327156814273878,500,0,"RSV"
"Ybin",0.05,1000,1000,100,"05km",0.0128711898123069,0.944,0.034160747251954,0.000440093285984776,0.0341921215056572,0.0328274331890575,500,0,"RSV"
"Ybin",0.05,1000,1000,100,"10km",0.0175409806950496,0.942,0.0344930846949072,0.000605555144436114,0.0345223083568533,0.0327076363444667,500,0,"RSV"
"Ybin",0.1,1000,1000,100,"02km",0.059958936647292,0.928,0.0349928467545834,0.00209646254134506,0.0349649720053823,0.033724753460811,500,0,"RSV"
"Ybin",0.1,1000,1000,100,"05km",0.058732356405631,0.942,0.0352472181306239,0.00206865347450616,0.0352217006281706,0.0339431641309951,500,0,"RSV"
"Ybin",0.1,1000,1000,100,"10km",0.0550539248432724,0.93,0.0352452410157937,0.00193938941562291,0.0352270872811333,0.0337853401828576,500,0,"RSV"
"Ybin",0.15,1000,1000,100,"02km",-0.012131757248022,0.946,0.0360728305581966,-0.000438032809800559,0.036106295307877,0.0347351528382054,500,0,"RSV"
"Ybin",0.15,1000,1000,100,"05km",-0.0217814481483921,0.948,0.0358496764379577,-0.000781454176928896,0.0358770533347932,0.0347893512655868,500,0,"RSV"
"Ybin",0.15,1000,1000,100,"10km",-0.00778086370955744,0.95,0.0360633396597643,-0.000280876437045724,0.0360983622808759,0.034741513444631,500,0,"RSV"
"Ybin",0.2,1000,1000,100,"02km",0.0204279533701943,0.938,0.0369547255470821,0.000755507517424494,0.0369840044048087,0.0357374799746615,500,0,"RSV"
