"shrid2","lat","lon","Ycons","Ylowinc","Ymidinc","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04311-569190",19.485,78.625,0,1,1,"Holdout",NA,-5.2267127184149,-0.107188742360932
"11-28-532-04311-569191",19.475,78.605,1,1,1,"Holdout",NA,-53.9537560823139,-1.10647658895352
"11-28-532-04311-569192",19.475,78.585,1,0,1,"Holdout",NA,-38.8347361138615,-0.796417700421438
"11-28-532-04311-569193",19.465,78.565,0,0,1,"Holdout",NA,-55.3844819665092,-1.13581772868171
"11-28-532-04311-569194",19.455,78.585,0,0,0,"Holdout",NA,-61.2708356070127,-1.25653430099193
"11-28-532-04311-569195",19.435,78.595,1,0,0,"Holdout",NA,15.6344062913097,0.320628363985071
"11-28-532-04311-569196",19.435,78.615,1,0,0,"Holdout",NA,-13.3670367954861,-0.274129446248765
"11-28-532-04311-569197",19.425,78.635,1,0,0,"Holdout",NA,-0.786405251814813,-0.0161274962809941
"11-28-532-04311-569198",19.425,78.645,1,0,1,"Holdout",NA,-37.0971789412316,-0.760784104670475
"11-28-532-04311-569199",19.425,78.655,1,1,1,"Holdout",NA,-29.6265584884472,-0.607577595315459
"11-28-532-04311-569200",19.435,78.645,0,0,0,"Holdout",NA,-35.6277417067867,-0.730649077623065
"11-28-532-04311-569201",19.435,78.655,0,0,0,"Holdout",NA,-39.2224428965975,-0.804368740527364
"11-28-532-04311-569202",19.435,78.675,0,0,0,"Holdout",NA,-18.2043631507002,-0.373332703886778
"11-28-532-04312-569203",19.645,78.815,1,1,1,"Holdout",NA,-39.1679271658663,-0.803250739035647
"11-28-532-04312-569204",19.645,78.855,1,0,0,"Holdout",NA,-32.3629632962165,-0.663695428021625
"11-28-532-04312-569205",19.635,78.875,1,0,1,"Holdout",NA,-20.8517308687724,-0.427624575576476
"11-28-532-04312-569206",19.635,78.905,1,0,0,"Holdout",NA,-28.4171419410049,-0.582775038585278
"11-28-532-04312-569207",19.655,78.915,1,0,1,"Holdout",NA,-43.9173270671826,-0.900650812431228
"11-28-532-04312-569208",19.655,78.935,1,1,1,"Holdout",NA,-34.583403423327,-0.709231924388484
"11-28-532-04312-569209",19.645,78.955,1,0,0,"Holdout",NA,-49.7630464984858,-1.02053406368179
"11-28-532-04312-569210",19.625,78.955,1,0,0,"Holdout",NA,-37.3179257817275,-0.765311152068649
"11-28-532-04312-569211",19.625,78.935,1,1,1,"Holdout",NA,-26.9495086892893,-0.552677007380266
"11-28-532-04312-569212",19.635,78.925,1,1,1,"Holdout",NA,-21.4791696837779,-0.440492008915966
"11-28-532-04312-569213",19.615,78.895,1,1,1,"Holdout",NA,-40.7117902597514,-0.834912081896136
"11-28-532-04312-569214",19.615,78.865,1,0,0,"Holdout",NA,-22.457192443832,-0.460549172050496
