"shrid2","y_05k_raw","y_10k_raw","y_cons_raw","lat","lon","d_name","sd_name","clusters","wave","tot_p","tot_m","tot_f","urban","y_05k","y_10k","y_cons","D"
"11-28-532-04308-569087",0.012658228,0,18032.138671875,19.725,78.755,"Adilabad","Bela","BELA ADILABAD","Holdout",406,0.509852217,0.490147783,0,0,1,1,NA
"11-28-532-04308-569088",0.209302321,0.011627907,19342.32421875,19.735,78.725,"Adilabad","Bela","BELA ADILABAD","Holdout",1118,0.52236136,0.47763864,0,0,0,0,NA
"11-28-532-04308-569089",0.344660193,0.002427184,23475.654296875,19.725,78.725,"Adilabad","Bela","BELA ADILABAD","Holdout",1701,0.519106408,0.480893592,0,0,0,0,NA
"11-28-532-04308-569091",0,0,18467.4140625,19.705,78.735,"Adilabad","Bela","BELA ADILABAD","Holdout",625,0.488,0.512,0,1,1,1,NA
"11-28-532-04308-569092",0.0625,0,20079.15625,19.715,78.745,"Adilabad","Bela","BELA ADILABAD","Holdout",496,0.493951613,0.506048387,0,0,1,0,NA
"11-28-532-04308-569093",0.127250895,0.028811524,18785.15234375,19.715,78.765,"Adilabad","Bela","BELA ADILABAD","Holdout",3816,0.508647799,0.491352201,0,0,0,1,NA
"11-28-532-04308-569096",0.069767445,0,17607.685546875,19.715,78.815,"Adilabad","Bela","BELA ADILABAD","Holdout",190,0.468421053,0.531578947,0,0,1,1,NA
"11-28-532-04308-569097",0.023255814,0,20341.60546875,19.715,78.825,"Adilabad","Bela","BELA ADILABAD","Holdout",181,0.46961326,0.53038674,0,0,1,0,NA
"11-28-532-04308-569098",0.005714286,0.005714286,20335.27734375,19.715,78.845,"Adilabad","Bela","BELA ADILABAD","Holdout",785,0.52866242,0.47133758,0,0,0,0,NA
"11-28-532-04308-569099",0.032128513,0,17123.45703125,19.685,78.845,"Adilabad","Bela","BELA ADILABAD","Holdout",1135,0.50660793,0.49339207,0,0,1,1,NA
"11-28-532-04308-569100",0.126684636,0.013477089,21352.74609375,19.695,78.815,"Adilabad","Bela","BELA ADILABAD","Holdout",1621,0.529919803,0.470080197,0,0,0,0,NA
"11-28-532-04308-569101",0.039999999,0,18858.55859375,19.695,78.805,"Adilabad","Bela","BELA ADILABAD","Holdout",92,0.5,0.5,0,0,1,1,NA
"11-28-532-04308-569102",0.040935673,0.005847953,20464.150390625,19.705,78.785,"Adilabad","Bela","BELA ADILABAD","Holdout",721,0.515950069,0.484049931,0,0,0,0,NA
"11-28-532-04308-569103",0,0,17949.765625,19.695,78.775,"Adilabad","Bela","BELA ADILABAD","Holdout",435,0.462068966,0.537931034,0,1,1,1,NA
"11-28-532-04308-569104",0,0,14008.36328125,19.695,78.755,"Adilabad","Bela","BELA ADILABAD","Holdout",668,0.505988024,0.494011976,0,1,1,1,NA
"11-28-532-04308-569105",0.021739131,0,17880.357421875,19.685,78.735,"Adilabad","Bela","BELA ADILABAD","Holdout",731,0.528043776,0.471956224,0,0,1,1,NA
"11-28-532-04308-569106",0.006060606,0.003030303,18387.216796875,19.685,78.715,"Adilabad","Bela","BELA ADILABAD","Holdout",1384,0.534682081,0.465317919,0,0,0,1,NA
"11-28-532-04308-569107",0,0,20376.9765625,19.655,78.735,"Adilabad","Bela","BELA ADILABAD","Holdout",318,0.481132075,0.518867925,0,1,1,0,NA
"11-28-532-04308-569108",0.078651689,0.005617978,18801.080078125,19.635,78.735,"Adilabad","Bela","BELA ADILABAD","Holdout",850,0.498823529,0.501176471,0,0,0,1,NA
"11-28-532-04308-569109",0,0,15716.150390625,19.635,78.705,"Adilabad","Bela","BELA ADILABAD","Holdout",272,0.463235294,0.536764706,0,1,1,1,NA
