"shrid2","lat","lon","Ycons","Y05k","Y10k","wave","D","R_PC1","R_PC1_scaled"
"11-28-532-04312-569222",19.605,78.895,1,1,1,"Holdout",NA,43.284313723995,0.887976759738003
"11-28-532-04312-569223",19.595,78.905,1,1,1,"Holdout",NA,49.1057126465747,1.00740263270845
"11-28-532-04312-569224",19.605,78.915,1,0,0,"Holdout",NA,39.5947221455953,0.81228486831897
"11-28-532-04312-569225",19.605,78.945,1,1,1,"Holdout",NA,7.07308626842367,0.145104211794409
"11-28-532-04312-569226",19.585,78.955,1,0,0,"Holdout",NA,11.4629178159774,0.235161511033312
"11-28-532-04312-569227",19.585,78.925,1,0,0,"Holdout",NA,20.5789302380687,0.422176308678413
"11-28-532-04312-569228",19.555,78.925,1,1,1,"Holdout",NA,3.95285992451167,0.0810928358445998
"11-28-532-04312-569229",19.565,78.895,0,1,1,"Holdout",NA,10.2367117069039,0.210005919230494
"11-28-532-04312-569230",19.555,78.865,1,0,0,"Holdout",NA,56.1145472911872,1.15118872383023
"11-28-532-04312-569231",19.565,78.835,1,0,1,"Holdout",NA,15.3237759830755,0.31436693281472
"11-28-532-04312-569232",19.555,78.805,1,0,1,"Holdout",NA,64.9580255006805,1.33261248799924
"11-28-532-04312-569233",19.545,78.785,1,0,1,"Holdout",NA,64.0801004013217,1.31460187357684
