shrid2,Ycons,Ylowinc,Ymidinc,wave,D,R_PC1,R_PC1_scaled
11-28-543-04835-583096,0,0,0,Buffer,0,3.234074226368397,0.066262405734581
11-28-543-04835-583097,1,0,0,Buffer,0,-7.55555083764754,-0.15480441700147418
11-28-543-04835-583098,0,0,0,Buffer,0,-2.7550669752055557,-0.05644810630769341
11-28-543-04835-583099,0,0,0,Buffer,0,10.300381521828065,0.21104279365497894
11-28-543-04835-583100,0,0,1,Buffer,0,-45.12800361328711,-0.9246201157148812
11-28-543-04835-583101,0,0,0,Buffer,0,-59.7415783960569,-1.2240352044575686
11-28-543-04835-583102,0,0,0,Buffer,0,-97.5858838732081,-1.9994208476888644
11-28-543-04835-583103,0,1,1,Buffer,0,16.943049641493257,0.34714330938113885
11-28-543-04835-583104,1,0,0,Buffer,0,13.133162584133556,0.2690831708910027
11-28-543-04835-583105,0,0,0,Buffer,0,-40.93524492394813,-0.8387153844149627
11-28-543-04835-583106,0,1,1,Buffer,0,-68.75021782576609,-1.408611710507104
11-28-543-04835-583107,0,0,1,Buffer,0,-69.63894539935058,-1.426820701070222
11-28-543-04835-583109,1,0,0,Buffer,0,-73.72219132383825,-1.510481643653565
11-28-543-04835-583110,1,0,0,Buffer,0,1.573420530184505,0.032237549995653446
11-28-543-04835-583111,1,0,0,Buffer,0,-26.990374252878674,-0.5530012623367375
11-28-543-04835-583112,0,0,0,Buffer,0,-103.23991174550497,-2.1152652787950315
11-28-543-04835-583113,0,0,0,Buffer,0,-61.89115548508694,-1.2680775297912736
11-28-543-04835-583114,1,0,0,Buffer,0,-22.88497522883931,-0.4688864286030912
11-28-543-04836-583115,0,0,0,Buffer,0,52.02534330542223,1.0659385546805509
11-28-543-04836-583116,1,0,0,Buffer,0,35.20642226647868,0.72133849546923
11-28-543-04836-583117,1,0,0,Buffer,0,48.99405404731714,1.0038309762329818
11-28-543-04836-583118,0,0,0,Buffer,0,43.81395196721107,0.8976967313909974
11-28-543-04836-583120,1,0,1,Buffer,0,-95.20249629161661,-1.9505880182916497
11-28-543-04836-583121,0,0,0,Buffer,0,-33.759935407264386,-0.691701668220949
11-28-543-04836-583122,0,0,0,Buffer,0,-146.60226373989715,-3.003709253899648
11-28-543-04836-583123,0,0,0,Buffer,0,-76.40214668887684,-1.5653908007473905
11-28-543-04836-583124,0,0,0,Buffer,0,-29.43552836762076,-0.6030996158975825
11-28-543-04836-583125,0,0,0,Buffer,0,29.097004745927098,0.5961636620507245
11-28-543-04836-583127,0,0,0,Buffer,0,-9.289858000152341,-0.19033834628896862
11-28-543-04836-802946,0,0,0,Buffer,0,-127.7429620839397,-2.6173041776002166
11-28-543-04837-583132,0,0,0,Treatment,1,0.875840998321277,0.017944959678589136
11-28-543-04837-583133,0,0,0,Treatment,1,-19.24331161302127,-0.3942729920614191
11-28-543-04837-583134,1,0,0,Treatment,1,48.6834437662433,0.997466934151932
11-28-543-04837-583135,0,1,1,Treatment,1,52.74591322372737,1.0807021911789265
11-28-543-04837-583136,0,0,0,Treatment,1,27.767653310697412,0.5689268029066626
11-28-543-04837-583137,1,0,0,Treatment,1,51.17485209063523,1.0485129824755506
11-28-543-04837-583138,0,0,0,Treatment,1,33.45955298545948,0.6855471830372486
11-28-543-04837-583139,0,0,0,Treatment,1,33.5224358656322,0.6868355798482403
11-28-543-04837-583140,0,0,0,Treatment,1,33.445418446312154,0.6852575828294936
11-28-543-04837-583141,0,0,0,Treatment,1,28.549726082974274,0.5849505610900887
11-28-543-04837-583142,0,0,0,Treatment,1,47.46128594893041,0.9724263471109185
11-28-543-04837-583143,0,0,0,Treatment,1,24.963924641051822,0.511481675283123
11-28-543-04837-583144,1,0,1,Treatment,1,54.40961182663458,1.1147894335022681
11-28-543-04837-583145,1,0,1,Treatment,1,61.54129218383672,1.260909239147211
11-28-543-04837-583146,0,0,0,Treatment,1,57.21436376006612,1.172255526606317
11-28-543-04837-583147,0,0,0,Treatment,1,48.50934356122158,0.9938998241797601
11-28-543-04837-583148,1,0,0,Treatment,1,46.67681955840437,0.9563535464836587
11-28-543-04837-583149,0,0,0,Treatment,1,52.15359137528223,1.0685662079268656
11-28-543-04837-583150,1,0,0,Treatment,1,51.70571211081999,1.059389684611497
11-28-543-04837-583151,0,0,1,Treatment,1,52.64190014176651,1.0785710845449474
11-28-543-04837-583152,0,0,1,Treatment,1,52.034090070186,1.0661177656803837
11-28-543-04837-583153,0,0,0,Treatment,1,44.846378928298535,0.9188499546624738
11-28-543-04837-583154,1,0,0,Treatment,1,51.524785250290606,1.055682704436789
11-28-543-04837-583155,0,0,0,Treatment,1,49.86208594267751,1.0216159365075375
11-28-543-04837-583156,0,0,0,Treatment,1,38.44902576709975,0.7877756560769501
11-28-543-04837-583157,1,0,1,Treatment,1,50.13101494427242,1.0271259778269934
11-28-543-04837-583158,0,0,1,Treatment,1,50.24214944759688,1.0294029940718141
11-28-543-04837-583159,1,0,0,Treatment,1,26.68212933850789,0.5466856838583201
11-28-543-04837-583160,0,0,0,Treatment,1,-21.639288241856104,-0.4433637563413426
11-28-543-04837-583161,0,0,1,Treatment,1,26.82511624364745,0.5496153186347391
11-28-543-04837-583162,0,0,0,Treatment,1,24.29241393951044,0.49772320486897503
11-28-543-04838-583165,1,0,1,Holdout,NA,49.27988052248069,1.0096872270612876
11-28-543-04838-583166,1,0,1,Holdout,NA,54.553295158283404,1.1177333372449172
11-28-543-04838-583167,1,0,1,Holdout,NA,-3.0954614120188872,-0.06342239097253456
11-28-543-04838-583168,0,0,1,Holdout,NA,12.863530904892935,0.26355873252682793
11-28-543-04838-583169,0,0,0,Holdout,NA,57.790271810068816,1.1840552102882655
11-28-543-04838-583170,0,0,0,Holdout,NA,27.297770367935048,0.5592994499080144
11-28-543-04838-583171,1,0,1,Holdout,NA,37.71538632076051,0.7727442402053323
11-28-543-04838-583172,0,0,0,Holdout,NA,51.42787081427112,1.0536970407718356
11-28-543-04838-583174,0,0,0,Holdout,NA,31.44720785097042,0.6443165802600027
11-28-543-04838-583175,1,0,1,Holdout,NA,54.19996782115305,1.1104940725492702
11-28-543-04838-583176,0,0,0,Holdout,NA,54.01821555250954,1.10677018072581
11-28-543-04838-583177,0,0,0,Holdout,NA,63.24365824859756,1.29578873262706
11-28-543-04838-583178,0,0,0,Holdout,NA,43.33621637609036,0.8879084867939533
11-28-543-04838-583179,0,0,0,Holdout,NA,38.20555324434868,0.7827871882934294
11-28-543-04838-583180,1,0,0,Holdout,NA,38.60440742360944,0.7909592448404393
11-28-543-04838-583181,1,0,0,Holdout,NA,57.249707396171395,1.1729796764531721
11-28-543-04838-583182,0,0,0,Holdout,NA,54.571444647239034,1.1181051990875577
11-28-543-04838-583183,1,0,1,Holdout,NA,49.8623981305774,1.0216223328731864
11-28-543-04838-583184,1,0,0,Holdout,NA,45.561165081712886,0.9334950885696777
11-28-543-04838-583185,1,0,0,Holdout,NA,65.24490582780608,1.3367919594508828
