shrid2,centroid_lat,centroid_lon,distance_km,lat,lon
11-28-551-05225-593318,14.503423581241915,78.64859341130625,0.42517266090269357,14.505,78.645
11-28-551-05225-593319,14.52519858424293,78.65546711355867,0.054977147689309336,14.525,78.655
11-28-551-05225-593320,14.544284813956754,78.69820408684372,0.3543072636134342,14.545,78.695
11-28-551-05225-593321,14.562367868766431,78.71135066,0.4903581945570473,14.565,78.715
11-28-551-05225-593322,14.567549159710333,78.70399752,0.30363128259102967,14.565,78.705
11-28-551-05225-593323,14.569408761733783,78.7235028,0.5166111509735426,14.565,78.725
11-28-551-05225-593324,14.607404681834261,78.74667653956834,0.32291358687018845,14.605,78.745
11-28-551-05225-593325,14.582435482986778,78.73408922,0.3018723558159148,14.585,78.735
11-28-551-05225-593327,14.573533724305324,78.74692514202313,0.2639342947566794,14.575,78.745
11-28-551-05225-593328,14.552491985972118,78.74323925911462,0.33754922288603495,14.555,78.745
11-28-551-05225-593331,14.511270346643965,78.71340703197158,0.4492744864469387,14.515,78.715
11-28-551-05225-593333,14.518588596037207,78.75617251411589,0.4189878369970313,14.515,78.755
11-28-551-05226-593334,14.57521526893143,78.76279717037225,0.238533191,14.575,78.765
11-28-551-05226-593335,14.574858858225788,78.78148632204613,0.37887960227596185,14.575,78.785
11-28-551-05226-593336,14.558505797538848,78.78213669960033,0.4974772888443175,14.555,78.785
11-28-551-05226-593337,14.587029776561801,78.81324991852058,0.29428242637271335,14.585,78.815
11-28-551-05226-593338,14.582946326341208,78.82402452,0.2516119254387394,14.585,78.825
11-28-551-05226-593339,14.57379456602313,78.86283509069843,0.26908773577650646,14.575,78.865
11-28-551-05226-593340,14.553194905451479,78.84003651056425,0.571307078,14.555,78.845
11-28-551-05226-593341,14.543271000247865,78.83816579456484,0.39167459776938346,14.545,78.835
11-28-551-05226-593342,14.523402881371151,78.78798173,0.36722488811121984,14.525,78.785
11-28-551-05226-593343,14.547001066404283,78.77235799510724,0.36147388699948596,14.545,78.775
11-28-551-05226-593344,14.532756025085346,78.76769435856124,0.3830070773316373,14.535,78.765
11-28-551-05226-593345,14.532058057700485,78.81944213988423,0.5799840235483401,14.535,78.815
11-28-551-05226-593346,14.520629475787835,78.81396344747198,0.49918269544245414,14.525,78.815
11-28-551-05227-593347,14.632660679037988,79.04246087205706,0.3776354802707834,14.635,79.045
11-28-551-05227-593348,14.670707235145583,79.09629657735195,0.4978493578622579,14.675,79.095
11-28-551-05227-593349,14.647398285821845,79.08609145034806,0.29170969970080296,14.645,79.085
11-28-551-05227-593350,14.617567400975084,79.09250120953486,0.3925949958554221,14.615,79.095
11-28-551-05227-593351,14.620269211500778,79.04496620901924,0.5266415445744211,14.625,79.045
